"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2025","517.66","546.50","572.23","510.14","9.64M","-5.32%"
"09/01/2025","546.75","491.26","554.13","486.25","15.11M","10.96%"
"08/01/2025","492.73","512.67","538.59","492.00","16.46M","-4.33%"
"07/01/2025","515.01","468.42","523.68","467.23","12.54M","10.09%"
"06/01/2025","467.82","465.27","481.34","452.00","15.63M","-0.77%"
"05/01/2025","471.46","394.30","491.98","386.00","19.34M","19.16%"
"04/01/2025","395.64","377.00","396.37","323.36","20.08M","7.94%"
"03/01/2025","366.54","365.19","374.88","309.01","27.10M","0.05%"
"02/01/2025","366.36","404.52","414.62","352.50","19.26M","-11.11%"
"01/01/2025","412.15","434.83","460.00","401.80","15.75M","-5.24%"
"12/01/2024","434.93","385.73","447.67","375.80","21.78M","12.49%"
"11/01/2024","386.64","370.26","395.93","331.74","18.90M","4.79%"
"10/01/2024","368.98","386.17","386.76","352.39","25.02M","-5.18%"
"09/01/2024","389.12","352.00","412.00","350.10","25.30M","10.28%"
"08/01/2024","352.84","364.64","392.61","318.17","35.10M","-3.30%"
"07/01/2024","364.89","385.87","413.88","361.40","18.10M","-5.44%"
"06/01/2024","385.87","394.40","399.81","376.39","16.23M","-2.33%"
"05/01/2024","395.09","403.14","421.21","375.30","20.91M","-2.41%"
"04/01/2024","404.84","520.84","529.67","402.00","23.10M","-22.57%"
"03/01/2024","522.88","548.31","574.76","502.20","17.16M","-4.68%"
"02/01/2024","548.56","506.55","563.17","491.52","11.47M","9.26%"
"01/01/2024","502.05","485.25","511.58","464.81","12.13M","2.46%"
"12/01/2023","489.99","475.20","497.41","465.00","16.54M","15.02%"
"11/01/2023","425.99","379.02","427.80","370.25","15.28M","11.72%"
"10/01/2023","381.31","402.09","406.80","368.02","17.15M","-4.54%"
"09/01/2023","399.45","417.01","420.47","388.45","13.66M","-3.75%"
"08/01/2023","415.03","445.00","467.64","405.80","20.80M","-6.69%"
"07/01/2023","444.80","470.48","487.16","443.06","13.30M","-5.48%"
"06/01/2023","470.60","408.11","472.87","402.00","21.65M","14.83%"
"05/01/2023","409.83","551.72","556.60","403.15","28.36M","-25.68%"
"04/01/2023","551.43","546.62","553.06","517.16","9.82M","1.06%"
"03/01/2023","545.67","516.00","546.47","501.04","16.91M","5.18%"
"02/01/2023","518.80","511.90","537.52","511.25","9.21M","0.94%"
"01/01/2023","513.96","469.66","514.25","466.62","10.25M","9.57%"
"12/01/2022","469.07","470.47","483.80","436.14","15.46M","0.91%"
"11/01/2022","464.84","424.51","466.55","402.77","13.65M","10.84%"
"10/01/2022","419.37","403.00","421.37","373.80","16.41M","4.53%"
"09/01/2022","401.19","419.85","451.30","386.10","18.16M","-4.45%"
"08/01/2022","419.87","388.90","433.88","360.58","22.89M","7.96%"
"07/01/2022","388.91","381.92","416.98","368.64","13.83M","0.89%"
"06/01/2022","385.48","423.68","429.48","378.36","17.83M","-8.89%"
"05/01/2022","423.10","398.61","426.83","330.80","21.83M","6.63%"
"04/01/2022","396.80","399.00","438.63","380.57","12.55M","-0.36%"
"03/01/2022","398.22","372.21","408.73","350.10","17.51M","6.33%"
"02/01/2022","374.50","364.37","383.29","341.47","12.52M","2.96%"
"01/01/2022","363.74","413.70","422.43","336.29","14.29M","-11.79%"
"12/01/2021","412.34","390.09","417.25","362.30","19.53M","7.39%"
"11/01/2021","383.95","369.13","417.85","363.38","12.05M","4.52%"
"10/01/2021","367.36","361.92","410.93","355.00","18.61M","1.78%"
"09/01/2021","360.92","389.52","392.00","360.51","11.91M","-6.81%"
"08/01/2021","387.31","337.50","414.98","335.73","16.12M","15.34%"
"07/01/2021","335.80","346.99","354.65","319.05","10.94M","-2.88%"
"06/01/2021","345.77","346.70","356.31","323.11","14.62M","0.12%"
"05/01/2021","345.36","330.40","351.72","299.77","17.58M","4.86%"
"04/01/2021","329.35","311.43","340.27","307.79","12.99M","6.53%"
"03/01/2021","309.17","326.77","351.00","297.29","26.69M","-4.08%"
"02/01/2021","322.33","282.03","338.26","276.00","10.63M","15.22%"
"01/01/2021","279.76","287.16","310.49","277.85","13.45M","-2.58%"
